"filename", "language", "JSON", "C#", "XML", "Docker", "Markdown", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Proyectos\jenappweb\JENAPP_WEB\.config\dotnet-tools.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Proyectos\jenappweb\JENAPP_WEB\PORTABILIDAD.md", "Markdown", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 27, 83
"c:\Proyectos\jenappweb\JENAPP_WEB\React\.env", "Dotenv", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Proyectos\jenappweb\JENAPP_WEB\React\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Proyectos\jenappweb\JENAPP_WEB\React\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Proyectos\jenappweb\JENAPP_WEB\React\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Proyectos\jenappweb\JENAPP_WEB\React\package-lock.json", "JSON", 3799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3800
"c:\Proyectos\jenappweb\JENAPP_WEB\React\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Proyectos\jenappweb\JENAPP_WEB\React\public\vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\api\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 13, 40
"c:\Proyectos\jenappweb\JENAPP_WEB\React\src\api\baseurl.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
